variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast
LAMC2,55.645191213288925,2.1976074391870166,0.4509096425852804,4.873720212739482,1.0951606404518248e-06,0.0003335514915969,Th1
RORA,4929.208148137833,1.0254791969319133,0.2131874691195285,4.810222670062068,1.5076224949108554e-06,0.000434572184158,Th1
CYSLTR2,751.2035166779468,-1.1394450082358591,0.2406464933981111,-4.734932938959679,2.191275408511254e-06,0.0005944801284737,Th1
CPD,5043.9860954315045,0.5117589742770762,0.1098060213158664,4.660572964436597,3.153303503041092e-06,0.0008014543084107,Th1
MYL9,521.5903585124636,-1.343357121996358,0.2956608543387709,-4.543574512089879,5.53082423036679e-06,0.0012614970181631,Th1
MAP6,242.79704405385047,0.8554885175486022,0.2394217660645757,3.5731442951509416,0.0003527202668417,0.0335411519726582,Th1
CHST2,1845.8409456692216,-1.2798741649602912,0.3668463584202546,-3.4888561262316893,0.0004850921672732,0.0416299584942642,Th1
MAN1C1,2312.92782318018,-2.738288709907729,0.785156217031537,-3.487571836672779,0.0004874279615546,0.0416299584942642,Th1
ADGRV1,254.82966969751445,-3.443166201450944,1.0102087601195289,-3.4083709599227245,0.0006535198610639,0.0497549389238835,Th1
MEIS1,23.45581652789768,1.277617103768368,0.4757973791372847,2.6852125711262675,0.0072483689625251,0.2649470377135585,Th1
LYSMD2,4946.281519002226,0.3888822224963413,0.1558167596964785,2.4957663299754147,0.0125685365053145,0.3826144578383551,Th1
BFSP2,125.72684821132194,-0.7641859923813829,0.3118728820535125,-2.45031240725271,0.0142732315461863,0.4114258993188216,Th1
NRP2,2781.0481020349043,-0.8537443556350023,0.3618974088716839,-2.3590783871506247,0.0183203854528203,0.4694925257238689,Th1
CCL5,49195.60902650195,0.6390260111091995,0.2946575955966019,2.1687070710508745,0.0301049302119887,0.6347124730651023,Th1
DOC2B,3.373935468193645,4.703976671959813,2.298787128965968,2.046286327553843,0.0407282080932389,,Th1
PER2,1808.7871237495715,-0.3251743175596401,0.1684656066035648,-1.930211893783424,0.0535805884547698,0.8744870938696361,Th1
SH2B2,72.81099435704145,0.8203533666747134,0.4269484987766229,1.921434011421405,0.0546770141389908,0.8825890676623656,Th1
STEAP1,47.65616452911869,1.114329586741209,0.5922245169211521,1.8815998914303125,0.0598903609886639,0.9071078649580228,Th1
NPPC,10.206651235948016,-1.4849066988182953,0.8334846332821095,-1.7815645778267144,0.0748202651682794,0.9845108786194142,Th1
SPTB,2.675915129167567,2.5185345634077745,1.442148160278274,1.746377128770045,0.0807454414923774,,Th1
CREB3L3,77.88513039404292,0.7243811218219279,0.4222381647111914,1.7155747214783406,0.0862399084547463,0.9998724362712248,Th1
KCNMB1,248.80713472632252,-1.3605992861080736,0.7935466547761298,-1.7145800790905192,0.0864222436538113,0.9998724362712248,Th1
LIX1L,18048.760397429924,-0.1579241157524901,0.0936662390943156,-1.686030284545438,0.0917899664107002,0.9998724362712248,Th1
FLT4,27.122827400512826,0.9001308961798207,0.5794480203203045,1.5534282016914145,0.12032086976544,0.9998724362712248,Th1
DARS1,17459.079586154876,0.1288569048510125,0.0838769149718661,1.5362618533863988,0.1244741712880111,0.9998724362712248,Th1
FAM81A,248.1949100290922,-0.4546776908476596,0.2959799805084524,-1.5361771768029262,0.1244949320040213,0.9998724362712248,Th1
ETNK2,9.420609924833483,-1.027748800059481,0.6770327635677255,-1.5180192973876256,0.1290095339811053,0.9998724362712248,Th1
HYI,1776.6437225743475,-0.3870108956749798,0.2634224642847018,-1.4691643581950018,0.1417882150069721,0.9998724362712248,Th1
SNPH,531.6051529114395,-0.2804675374706196,0.1916118173466034,-1.4637277666611064,0.1432683456340176,0.9998724362712248,Th1
VCAN,34.70714870906686,0.827114482460831,0.5816391783239027,1.42204052492528,0.1550144868125529,0.9998724362712248,Th1
RANGRF,8523.15781084869,-0.1232857497638338,0.0889818491706581,-1.385515708123623,0.1658948327249677,0.9998724362712248,Th1
MAT2A,27569.84201686622,-0.1868532748332832,0.1373458618255996,-1.3604579879556002,0.1736850389291729,0.9998724362712248,Th1
CDHR1,7.688354593339037,1.2260709494712632,0.9161857360013546,1.338234051560753,0.1808201521577759,0.9998724362712248,Th1
PIGP,3518.9892290648604,-0.1366090007424158,0.1043551104251817,-1.3090782060008348,0.1905078608398088,0.9998724362712248,Th1
IL5RA,27.982253742673077,-1.297763622933222,1.006347012303144,-1.2895786513671232,0.1971969919995966,0.9998724362712248,Th1
IL1RL1,13.632363988510471,0.9897081023344484,0.8135431188474003,1.2165404382457718,0.2237791163335075,0.9998724362712248,Th1
GLIPR2,6009.520759697855,-0.4835123865897043,0.3975644681295464,-1.2161861165926724,0.2239140312003718,0.9998724362712248,Th1
PABIR3,1618.0437944972157,0.1795117296653433,0.1600557039364596,1.12155784049163,0.2620504856695564,0.9998724362712248,Th1
TRIL,2.1455347814478363,1.5162829264252369,1.3666093176569254,1.1095218705408283,0.2672051149495446,,Th1
TMEM74B,5.169462390195807,0.9985699581638792,0.924481237328744,1.080140859374509,0.2800794592835396,0.9998724362712248,Th1
TEAD2,1.1781964864287788,2.217894127045021,2.1248534472349547,1.0437868691279104,0.2965840080752443,,Th1
MAMDC2,34.80161082973122,0.7002540377846647,0.6846197709697445,1.0228364231911893,0.3063851934866883,0.9998724362712248,Th1
TXNL4B,4381.766766891323,0.1094174844761609,0.1083759183422038,1.0096106787364725,0.3126818513867975,0.9998724362712248,Th1
C6orf141,10.362221282765644,0.7807793645054178,0.7950030708024705,0.982108614646362,0.3260463419023234,0.9998724362712248,Th1
SPTBN1,7935.094396448746,0.1707965496038056,0.1774684219335182,0.9624052986045486,0.3358460531022899,0.9998724362712248,Th1
ZNF563,273.45054127703816,0.2993456424119334,0.3126630444698566,0.9574065362265508,0.3383621006525023,0.9998724362712248,Th1
ZBTB17,3206.758362498696,0.099573213428641,0.1060384573839392,0.9390292530200702,0.3477157253216212,0.9998724362712248,Th1
ABCA6,14.825560542363853,0.5414456024010432,0.5817845280521071,0.9306634609446832,0.3520276762070822,0.9998724362712248,Th1
SLC27A3,703.878169481087,0.237903288888329,0.2558122502619191,0.9299917757837884,0.3523753426859788,0.9998724362712248,Th1
CYP1A1,434.3078292371615,-0.284485240418961,0.3193688068334321,-0.8907734078342073,0.373050743958419,0.9998724362712248,Th1
CENPJ,6713.222901798557,-0.1100619919835091,0.1255642922223256,-0.8765389430032554,0.3807371152899469,0.9998724362712248,Th1
BTBD17,2.5180211923109685,1.0494955822219345,1.21025741871879,0.8671672373080415,0.3858503845763442,,Th1
SH3BP1,25052.49715963622,0.1386525805914892,0.1618701012005412,0.8565669605637191,0.3916842517516974,0.9998724362712248,Th1
HAP1,15.188316749026653,-0.5884763152691967,0.6967537796087524,-0.8445972343338322,0.3983357537418723,0.9998724362712248,Th1
PPIL6,11.383131632059133,-0.5829424093625203,0.704898299522301,-0.8269879637354376,0.4082438836214647,0.9998724362712248,Th1
METAP1D,393.3479986747406,-0.1704704518595906,0.2063901550581564,-0.8259621289181919,0.4088255750690099,0.9998724362712248,Th1
GBGT1,319.3542323439334,-0.3186797245980248,0.3950834372092601,-0.8066137291127006,0.4198890614381589,0.9998724362712248,Th1
TBC1D28,1.523781011748963,1.1677490631597771,1.455419730030583,0.8023452197774174,0.422353291551808,,Th1
NAB1,5254.291873271222,0.1215875654890736,0.1526112074199511,0.7967145240813966,0.4256168467955447,0.9998724362712248,Th1
SLC2A8,970.5862232094314,0.0903649545869431,0.1139351762444565,0.7931260350452112,0.4277043956003944,0.9998724362712248,Th1
PLTP,321.47619653644205,-0.4066066611698818,0.51506147911426,-0.7894332573057383,0.4298588244328469,0.9998724362712248,Th1
SF3B2,10746.871413780951,0.0618845267369904,0.0801778756452065,0.7718404390113102,0.4402089373858251,0.9998724362712248,Th1
PTPN6,18756.92461188833,-0.1593885504760477,0.207960553118683,-0.7664364615585759,0.4434166446059526,0.9998724362712248,Th1
ADM2,288.32569548331804,0.2442957345418628,0.3190406842394306,0.7657196922212156,0.443843107308137,0.9998724362712248,Th1
OR2L5,10.131354210140056,0.4787297877886317,0.6353663334628254,0.7534704981604785,0.4511672330292355,0.9998724362712248,Th1
